"city","eventname","gmtdifference","group","kickoff","matchid","matchnumber","stadium","stage","status","team_id","team_name","team_score","opponent_team_id","opponent_team_name","opponent_team_score","tournament_id","height_mean","height_max","height_min","weight_mean","weight_max","weight_min","age_mean","age_max","age_min","player_count","timezone","winner","seeded_first","team_gmtdifference","travel_timedifference","travel_direction_clockwise"
"Dubai","HSBC World Rugby Sevens Series 2016-17- Dubai","4","A","2016-12-02T10:52:00","24037","6","The Sevens","Pool","Match Completed","2413","Fiji 7s",26,"2410","Canada 7s",19,"1684","184.5","195","170","92.1666666666667","110","80","27.6513698630137","32.1534246575342","22.3671232876712","12","GMT +13","1",1,13,9,"true"
"London","HSBC World Rugby Sevens Series 2016-17- London","1","C","2017-05-20T09:30:00","24903","1","Twickenham","Pool","Match Completed","2413","Fiji 7s",19,"2410","Canada 7s",22,"1693","181.5","195","170","89.5833333333333","102","80","27.5506849315069","35.8821917808219","22.3671232876712","12","GMT +13","2",1,13,12,"true"
"London","2015/16 HSBC World Rugby Sevens Series - London","1","D","2016-05-21T17:10:00","23626","21","Twickenham","Pool","Match Completed","3911","Russia 7s",14,"3886","Brazil 7s",5,"1620","183","195","177","90","110","77","27.9643835616438","32.1315068493151","23.7917808219178","12","GMT +3","1",1,3,2,"true"
"Cape Town","HSBC World Rugby Sevens Series 2016-17- Cape Town","2","D","2016-12-10T16:57:00","24153","17","Cape Town Stadium","Pool","Match Completed","2418","Samoa 7s",29,"2745","Uganda 7s",5,"1685","182.846153846154","189","175","91.1538461538462","103","74","25.7763962065332","29.6794520547945","21.8986301369863","13","GMT +14","1",1,14,12,"true"
"Hong Kong","HSBC World Rugby Sevens Series 2016-17- Hong Kong","8","A","2017-04-08T15:18:00","24630","17","Hong Kong Stadium","Pool","Match Completed","2418","Samoa 7s",22,"3898","South Korea 7s",12,"1690","181.923076923077","188","174","90.9230769230769","102","74","25.995363540569","29.6794520547945","21.8986301369863","13","GMT +14","1",1,14,6,"true"
"Dubai","2015/16 HSBC World Rugby Sevens Series - Dubai","4","A","2015-12-04T09:00:00","22808","1","The Sevens","Pool","Match Completed","2413","Fiji 7s",63,"2410","Canada 7s",14,"1611","185.416666666667","196","171","93.6666666666667","106","81","29.1744292237443","34.586301369863","24.6767123287671","12","GMT +13","1",1,13,9,"true"
"Dubai","2015/16 HSBC World Rugby Sevens Series - Dubai","4","B","2015-12-04T13:06:00","22819","12","The Sevens","Pool","Match Completed","2419","Scotland 7s",12,"2418","Samoa 7s",17,"1611","181","189","175","91.6666666666667","103","74","25.8760273972603","28.8219178082192","23.3397260273973","12","GMT +14","2",0,14,10,"true"
"Dubai","2015/16 HSBC World Rugby Sevens Series - Dubai","4","C","2015-12-04T14:14:00","22820","13","The Sevens","Pool","Match Completed","2416","New Zealand 7s",47,"3910","Portugal 7s",5,"1611","189.166666666667","194","186","94.75","104","86","28.0561643835616","35.0328767123288","23.3808219178082","12","GMT +13","1",1,13,9,"true"
"Dubai","2015/16 HSBC World Rugby Sevens Series - Dubai","4","D","2015-12-04T15:20:00","22823","16","The Sevens","Pool","Match Completed","2409","Australia 7s",43,"3921","Wales 7s",0,"1611","184.5","192","170","91.6666666666667","102","82","27.3472602739726","34.8465753424658","24.1068493150685","12","GMT +11","1",1,11,7,"true"
"Dubai","2015/16 HSBC World Rugby Sevens Series - Dubai","4","A","2015-12-04T18:06:00","22824","17","The Sevens","Pool","Match Completed","2410","Canada 7s",7,"2423","Japan 7s",21,"1611","183.333333333333","191","172","91.5","107","84","30.1479452054795","36.1123287671233","27.6986301369863","12","GMT +9","2",0,9,5,"true"
