,tournament_id,pointsfor_2408_Argentina 7s,pointsfor_2409_Australia 7s,pointsfor_2410_Canada 7s,pointsfor_2412_England 7s,pointsfor_2413_Fiji 7s,pointsfor_2414_France 7s,pointsfor_2415_Kenya 7s,pointsfor_2416_New Zealand 7s,pointsfor_2418_Samoa 7s,pointsfor_2419_Scotland 7s,pointsfor_2420_South Africa 7s,pointsfor_2422_USA 7s,pointsfor_2423_Japan 7s,pointsfor_2745_Uganda 7s,pointsfor_3886_Brazil 7s,pointsfor_3887_Chile 7s,pointsfor_3895_Hong Kong 7s,pointsfor_3898_Korea 7s,pointsfor_3898_South Korea 7s,pointsfor_3906_Papua New Guinea 7s,pointsfor_3910_Portugal 7s,pointsfor_3911_Russia 7s,pointsfor_3913_Spain 7s,pointsfor_3921_Wales 7s,pointsfor_3924_Zimbabwe 7s
0,1611,50,62,35,66,112,75,34,80,43,41,104,80,57,,,,,,,,26,24,,17,
1,1612,52,92,60,62,129,62,69,50,53,66,48,99,,,,,,,,,12,15,,73,5
2,1613,60,62,71,50,109,63,69,84,49,31,96,58,49,,,,,,,,24,24,,52,
3,1614,45,67,41,64,99,26,60,84,41,61,99,89,43,,,,,,,,38,15,,31,
4,1615,63,97,43,40,81,50,84,80,57,43,98,45,50,,,,,,,,7,52,,36,
5,1616,42,104,62,26,124,36,81,48,74,52,96,64,,,12,,,,,,12,17,,92,
6,1617,38,80,58,52,112,46,34,52,34,28,95,69,,,,,,28,,,12,27,,74,
7,1618,75,55,50,38,78,69,33,43,61,48,68,65,59,,,,,,,,19,34,,52,
8,1619,78,62,24,62,113,92,68,85,74,59,85,45,,,19,,,,,,24,34,,31,
9,1620,64,29,43,65,78,88,46,78,24,69,57,34,,,12,,,,,,45,36,,20,
10,1684,59,64,38,83,72,59,43,64,45,54,86,51,21,21,,,,,,,,27,,64,
11,1685,69,43,43,59,89,83,79,78,48,83,98,55,19,19,,,,,,,,17,,67,
12,1686,65,45,85,97,94,63,71,78,24,62,92,57,12,,,,,,,19,,5,,45,
13,1687,55,83,48,66,86,36,36,71,21,47,61,67,12,,,,,,,26,,38,,49,
14,1688,69,64,52,67,89,33,33,53,29,66,78,74,19,,,17,,,,,,15,,35,
15,1689,64,53,68,66,77,57,45,88,45,37,60,112,26,,,19,,,,,,17,,61,
16,1690,44,86,52,74,70,36,53,73,51,33,78,66,35,,,,,,12,,,33,,58,
17,1691,31,67,69,71,113,45,46,79,26,66,74,82,31,,,,26,,,,,41,,54,
18,1692,61,47,47,67,102,62,52,74,59,76,78,78,26,,,,,,,,,31,14,68,
19,1693,80,96,64,71,101,50,38,79,64,59,36,83,26,,,,,,,,,46,14,55,
