,attendance,city,eventname,gmtdifference,group,kickoff,matchid,matchnumber,stadium,stage,status,team1id,team1name,team1score,team2id,team2name,team2score,tournament_id,index_team1,team_id_team1,height_mean_team1,height_max_team1,height_min_team1,weight_mean_team1,weight_max_team1,weight_min_team1,age_mean_team1,age_max_team1,age_min_team1,player_count_team1,index_team2,team_id_team2,height_mean_team2,height_max_team2,height_min_team2,weight_mean_team2,weight_max_team2,weight_min_team2,age_mean_team2,age_max_team2,age_min_team2,player_count_team2
0,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,A,2015-12-04T09:00:00,22808,1,The Sevens,Pool,Match Completed,2413,Fiji 7s,63,2410,Canada 7s,14,1611,4,2413,185.416666666667,196.0,171.0,93.6666666666667,106.0,81.0,29.1744292237443,34.586301369863,24.6767123287671,12,2,2410,184.833333333333,195.0,170.0,95.8333333333333,120.0,82.0,28.0011415525114,32.2712328767123,23.7205479452055,12
1,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,A,2015-12-04T09:22:00,22809,2,The Sevens,Pool,Match Completed,2408,Argentina 7s,31,2423,Japan 7s,19,1611,0,2408,182.333333333333,191.0,170.0,87.8333333333333,100.0,76.0,25.2687214611872,31.0821917808219,22.6767123287671,12,12,2423,183.333333333333,191.0,172.0,91.5,107.0,84.0,30.1479452054795,36.1123287671233,27.6986301369863,12
2,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,B,2015-12-04T09:44:00,22810,3,The Sevens,Pool,Match Completed,2420,South Africa 7s,33,2418,Samoa 7s,7,1611,10,2420,179.916666666667,191.0,170.0,88.1666666666667,96.0,80.0,28.1561643835616,34.4,24.1698630136986,12,8,2418,181.0,189.0,175.0,91.6666666666667,103.0,74.0,25.8760273972603,28.8219178082192,23.3397260273973,12
3,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,B,2015-12-04T10:06:00,22811,4,The Sevens,Pool,Match Completed,2419,Scotland 7s,17,3911,Russia 7s,14,1611,9,2419,184.5,195.0,177.0,96.4166666666667,112.0,88.0,27.6454337899543,32.9890410958904,20.8438356164384,12,14,3911,184.75,195.0,177.0,89.0,102.0,77.0,26.4872146118722,31.2383561643836,21.5780821917808,12
4,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,C,2015-12-04T10:30:00,22812,5,The Sevens,Pool,Match Completed,2416,New Zealand 7s,21,2414,France 7s,14,1611,7,2416,189.166666666667,194.0,186.0,94.75,104.0,86.0,28.0561643835616,35.0328767123288,23.3808219178082,12,5,2414,180.333333333333,194.0,169.0,86.4166666666667,100.0,65.0,28.3609589041096,37.4712328767123,21.2082191780822,12
5,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,C,2015-12-04T10:52:00,22813,6,The Sevens,Pool,Match Completed,2422,USA 7s,45,3910,Portugal 7s,14,1611,11,2422,184.833333333333,195.0,172.0,90.75,106.0,75.0,28.3874429223744,33.027397260274,25.1616438356164,12,13,3910,178.494713055342,190.0,162.0,83.1644708791677,90.9736505500128,75.0,23.5198630136986,33.6630136986301,19.9835616438356,12
6,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,D,2015-12-04T11:14:00,22814,7,The Sevens,Pool,Match Completed,2412,England 7s,26,3921,Wales 7s,5,1611,3,2412,182.333333333333,196.0,174.0,91.6666666666667,107.0,82.0,27.386301369863,33.3424657534247,21.9178082191781,12,15,3921,181.333333333333,190.0,173.0,89.8333333333333,105.0,75.0,26.0235159817352,32.7205479452055,23.2684931506849,12
7,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,D,2015-12-04T11:36:00,22815,8,The Sevens,Pool,Match Completed,2409,Australia 7s,14,2415,Kenya 7s,12,1611,1,2409,184.5,192.0,170.0,91.6666666666667,102.0,82.0,27.3472602739726,34.8465753424658,24.1068493150685,12,6,2415,182.0,189.0,172.0,90.5833333333333,102.0,82.0,26.1027397260274,31.1890410958904,22.7287671232877,12
8,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,A,2015-12-04T12:00:00,22816,9,The Sevens,Pool,Match Completed,2413,Fiji 7s,21,2423,Japan 7s,17,1611,4,2413,185.416666666667,196.0,171.0,93.6666666666667,106.0,81.0,29.1744292237443,34.586301369863,24.6767123287671,12,12,2423,183.333333333333,191.0,172.0,91.5,107.0,84.0,30.1479452054795,36.1123287671233,27.6986301369863,12
9,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,A,2015-12-04T12:22:00,22817,10,The Sevens,Pool,Match Completed,2408,Argentina 7s,19,2410,Canada 7s,14,1611,0,2408,182.333333333333,191.0,170.0,87.8333333333333,100.0,76.0,25.2687214611872,31.0821917808219,22.6767123287671,12,2,2410,184.833333333333,195.0,170.0,95.8333333333333,120.0,82.0,28.0011415525114,32.2712328767123,23.7205479452055,12
10,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,B,2015-12-04T12:44:00,22818,11,The Sevens,Pool,Match Completed,2420,South Africa 7s,45,3911,Russia 7s,0,1611,10,2420,179.916666666667,191.0,170.0,88.1666666666667,96.0,80.0,28.1561643835616,34.4,24.1698630136986,12,14,3911,184.75,195.0,177.0,89.0,102.0,77.0,26.4872146118722,31.2383561643836,21.5780821917808,12
11,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,B,2015-12-04T13:06:00,22819,12,The Sevens,Pool,Match Completed,2419,Scotland 7s,12,2418,Samoa 7s,17,1611,9,2419,184.5,195.0,177.0,96.4166666666667,112.0,88.0,27.6454337899543,32.9890410958904,20.8438356164384,12,8,2418,181.0,189.0,175.0,91.6666666666667,103.0,74.0,25.8760273972603,28.8219178082192,23.3397260273973,12
12,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,C,2015-12-04T14:14:00,22820,13,The Sevens,Pool,Match Completed,2416,New Zealand 7s,47,3910,Portugal 7s,5,1611,7,2416,189.166666666667,194.0,186.0,94.75,104.0,86.0,28.0561643835616,35.0328767123288,23.3808219178082,12,13,3910,178.494713055342,190.0,162.0,83.1644708791677,90.9736505500128,75.0,23.5198630136986,33.6630136986301,19.9835616438356,12
13,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,C,2015-12-04T14:36:00,22821,14,The Sevens,Pool,Match Completed,2422,USA 7s,21,2414,France 7s,26,1611,11,2422,184.833333333333,195.0,172.0,90.75,106.0,75.0,28.3874429223744,33.027397260274,25.1616438356164,12,5,2414,180.333333333333,194.0,169.0,86.4166666666667,100.0,65.0,28.3609589041096,37.4712328767123,21.2082191780822,12
14,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,D,2015-12-04T14:58:00,22822,15,The Sevens,Pool,Match Completed,2412,England 7s,19,2415,Kenya 7s,12,1611,3,2412,182.333333333333,196.0,174.0,91.6666666666667,107.0,82.0,27.386301369863,33.3424657534247,21.9178082191781,12,6,2415,182.0,189.0,172.0,90.5833333333333,102.0,82.0,26.1027397260274,31.1890410958904,22.7287671232877,12
15,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,D,2015-12-04T15:20:00,22823,16,The Sevens,Pool,Match Completed,2409,Australia 7s,43,3921,Wales 7s,0,1611,1,2409,184.5,192.0,170.0,91.6666666666667,102.0,82.0,27.3472602739726,34.8465753424658,24.1068493150685,12,15,3921,181.333333333333,190.0,173.0,89.8333333333333,105.0,75.0,26.0235159817352,32.7205479452055,23.2684931506849,12
16,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,A,2015-12-04T18:06:00,22824,17,The Sevens,Pool,Match Completed,2410,Canada 7s,7,2423,Japan 7s,21,1611,2,2410,184.833333333333,195.0,170.0,95.8333333333333,120.0,82.0,28.0011415525114,32.2712328767123,23.7205479452055,12,12,2423,183.333333333333,191.0,172.0,91.5,107.0,84.0,30.1479452054795,36.1123287671233,27.6986301369863,12
17,,Dubai,2015/16 HSBC World Rugby Sevens Series - Dubai,4.0,A,2015-12-04T18:28:00,22825,18,The Sevens,Pool,Match Completed,2413,Fiji 7s,28,2408,Argentina 7s,0,1611,4,2413,185.416666666667,196.0,171.0,93.6666666666667,106.0,81.0,29.1744292237443,34.586301369863,24.6767123287671,12,0,2408,182.333333333333,191.0,170.0,87.8333333333333,100.0,76.0,25.2687214611872,31.0821917808219,22.6767123287671,12
